id,title,release year,review
0358,Story of Temple Drake The,1933,The following two films were shown in William K Everson s Hollywood and the Code series at the Seattle International Film Festival THE STORY OF TEMPLE DRAKE USA 1933 Director Stephen Roberts Cast Miriam Hopkins Jack LaRue William Gargan NIGHT NURSE USA 1931 Director William Wellman Cast Barbara Stanwyck Clark Gable Joan Blondell Ben Lyon Charlotte Merriam Charles Winninger THE STORY OF TEMPLE DRAKE was used by Everson to illustrate the problems of adapting a work that dealt with material considered too risque for the times While previous films examined in this series had added elements of sex and violence to attract audiences TEMPLE DRAKE is a film which contains these elements but doesn t attempting to pander to the public For years several people at Paramount had wanted to film William Faulkner s short story Sanctuary however it was always considered an impossibility as the subject matter a young southern girl who is raped and then abducted by a hood was considered way too touchy for that period Finally after much cajoling Paramount was able to get it made It has the texture of a Warner s crime drama in many several senses and much is hinted at rather than explicitly shown the actual rape scene is basically communicated by a candle approaching Drake s bed and a scream It also has more of a social conscious than most films of the times the hero of the film a public defender in a small Southern town is defending blacks before the imperious Judge Drake Temple s grandfather The Judge s continuing ideas of Southern classes are seen as generally corroding his daughter and his community towards the end Ironically the film raised little controversy because the publicity was fairly non exploitive in theme However it was one of the last films of its type to make it through the Hollywood studio system until the loosening of the code in 1938 NIGHT NURSE was one of the other films that Everson had listed as being most instrumental in the institution of the code with a title like NIGHT NURSE you might guess that this isn t exactly MY BRILLIANT CAREER Barbara Stanwyck becomes a nurse trainee in a local hospital where the doctors and nurses all seem pretty cynical these people make St Elsewhere look like a paradise She teams up with another trainee Blondell who wants to use her position as a nurse to find some rich old patient to marry She also befriends one of the nicest bootleggers I ve ever seen in the movies a chap who looks like he sells magazines to get through State U except that he meets Stanwyck to have a bullet removed from his arm Guy just radiates boy next door charm and we can tell that these two are made for each other After nurse graduation or whatever the hell they call it the two women take a job nursing a pair of children who as it turns out are being starved to death Their mother a rich alcoholic is being seduced by her evil chauffeur played by Clark Gable dressed like Kato he plans to scrag the kids and marry their mother so that he can get all the money also he probably knows that the lovable tykes will laugh at how his ears stick out Gable has arranged for the kids doctor to be a drug addicted surgeon we know this because he twitches like a fiend who confines the little girls to their room without food The children look remarkably healthy by the way except that they swoon every five minutes from hunger Stanwyck of course won t stand for it and after haggling with a decent doctor at the hospital to skip ethics rather like Jack Klugman as Quincy but with better legs she gets him to come in and save the girl Gable tries to put a stop to it but Stanwyck s boyish mobster gets the drop on him and makes fun of his ears The girls are fine the quack doctor brought up on charges and Gable apparently goes for a ride The last scene is Stanwyck and boyfriend driving off into the sunset So honey who would you like me to rub out next It was something of an exploitation film extremely tawdry in Everson s best British accent the really isn t a really sympathetic character outside of Stanwyck though by today s standards the bootlegger would be a saint compared to Chuck Norris or Dirty Harry Blondell and Stanwyck spend an inordinate amount of time in their lingerie Gable punches Stanwyck I mean punches bloody nose and everything I expected to see her lay him out as she is definitely the toughest character in the cast All in all this would almost be worth watching for unintentional laughs and Stanwyck of course holds your attention
0359,Desire,1936,The following film concluded William K Everson s Hollywood and the Code series DESIRE USA 1936 Producer Ernst Lubitsch Director Frank Borzage Cast Marlene Dietrich Gary Cooper John Halliday William Frawley Akim Tamiroff Ernest Cossart Alan Mowbray Zeffie Tilbury When watching old films every once in a while you come across a real gem sometimes it s one that has been remarked upon like BRINGING UP BABY and sometimes it comes out of the blue Here s one of the latter a romantic comedy which is a pleasure to sit through and a star combination Cooper and Dietrich which is dazzling to watch It was picked for the Hollywood Code series due to its producer s ability to weave innuendo with innocence in a film that deals with a jewel thief s attempts to smuggle pearls it s ironic to see how Lubitsch smuggles Cooper into Dietrich s bedroom and gets her off scott free at the end even though she is definitely a con artist throughout the film It s a pleasure to watch it s clear that the two have been sleeping together but any attempts by the censorship board to bring it up would have looked foolish Lubitsch s genius is how he made it appear that the censors had dirty minds A brief synopsis I wouldn t want to spoil it for you The opening shows how jewel thief Dietrich pulls off an immensely amusing heist of a pearl necklace On the run to Spain she runs into literally Gary Cooper a Detroit automobile engineer who is taking two weeks vacation in Spain before returning to the U S Of course they fall for each other but there are some nasty people after Dietrich on both sides of the law and it s up to ol Montana Gary to get the lil lady out of it
0361,Lady in White,1988,To garble Dickens There s more Spielburg than spectre in you my friend At points this reminds me of E T with ghosts instead of aliens other times it contains a rather self conscious resemblance to TO KILL A MOCKINGBIRD This isn t a bad film but it has a lot of potential at points almost all of which is unrealized If I sound a bit disappointed with THE LADY IN WHITE it s because I am It came with very good word of mouth more importantly it s professed aim a ghost story without gore that produced chills instead of shocks never materialized I gave up on the film being another THE HAUNTING after the first appearance of the ghost a little girl whom the main character a young boy locked in a school cloakroom after hours sees It s a basic transparency shot superimposed on the setting while I wouldn t shoot a film down wholly due to a lack of technical proficiency THE LADY IN WHITE adds to that a lack of technical imagination This film is rarely spooky it occasionally pops to the completely cute and concludes in a Close Encounters light show and as a ghost story is badly lacking However the director writer has woven in several other threads besides the spectral elements It s a mystery in that a child murderer is on the loose in the community the little girl was one of the first victims unfortunately the identity of the killer is telegraphed early into the film It also tries to be a kids eye view type of film narrated by an adult version of the boy again TO KILL A MOCKINGBIRD seems to echo through the film Parts of this work especially the younger boy s relation with his older brother but the strongest element in the whole film is the racial subplot The film is based in the early sixties and the black janitor of the school is accused of being the murderer This I thought was handled very well but it s a very small part of the rest of the film and can t justify the rest My other complaint is the soundtrack also done by the writer director it s terribly overbearing throughout the film especially during the suspense scenes It s not really a bad film per se it s just not a good one The conclusion is a retread of both fantasy and suspense movie talk about dragging it out and while I liked the dated feel the film had it just wasn t enough Rate it a 2 movie if you ve got absolutely nothing to do on a fall afternoon and you should Otherwise skip it
0362,Coming to America,1988,Let me not mince words I have liked some of John Landis s films but too many have seemed like extended comedy sketches He is generally weak on characters and weaker on storyline Eddie Murphy is a standup comic who can be funny but whose films have had little of quality beyond his jokes His acting range is dwarfed even by John Wayne s Both Landis and Murphy are symbolic of what is going wrong with screen comedy The only current comedy I wanted to see less than John Landis s Eddie Murphy comedy COMING TO AMERICA was ARTHUR 2 ON THE ROCKS Then I heard that COMING TO AMERICA was supposed to be a departure for Landis and Murphy It got good reviews on television So I tried it COMING TO AMERICA is to date the high water mark for Landis s directorial career and it is the best film Eddie Murphy has ever been in Even more than BULL DURHAM it is a throwback to earlier comedies Watching it I was reminded of comedies by Lubitsch and Capra and of stories by O Henry The storyline is simple and predictable like an O Henry story but it is told with warmth Prince Akeem of Zamunda played by Murphy without a lot of smirky highjinks but with dignity and sincerity objects to the wife his father regally played by the great James Earl Jones has chosen for him Instead he decides to go to America and find someone he wants He wants someone with a mind and a will of her own who wants him for himself This ploy is a familiar one he will pretend to be a poor man and find a wife like commoners do With him he takes his faithful servant Semmi Arsenio Hall plays Semmi so well one wishes the two roles had been reversed Landis has assembled a very good cast for this story with Hall Jones Shari Headley very appealing as the woman Murphy wants to marry and John Amos as her father who runs an imitation McDonald s restaurant so close that the McDonald s corporation is going to sue him any day In addition there are a raft of minor characters who add depth and texture to the film The liberal sprinkling of minor characters is a characteristic of the good classic comedies but in recent years we see less of it because they take good writing and they take away screen time from the major stars In COMING TO AMERICA they do away with that problem by having Murphy and Hall play many of the minor characters in Rick Baker s heavy makeup Just to show I was not totally bowled over by this film I will say that there were problems with the scenes in Zamunda It should be a never never land but Zamunda seems more never never than most Perhaps my geography is bad but for a heavily forested African kingdom the vegetation seemed all wrong It is a very wealthy kingdom in which baby elephants have the big ears of African elephants but the adult elephants have the small ears of Indian elephants On top of all this the matte work to show the African palace is abominable These are definitely quibbles but they are noticeable and still I give COMING TO AMERICA a strong 2 on the 4 to 4 scale Landis and Murphy how about more of the same Oh and you will have no problem finding the reference to SEE YOU NEXT WEDNESDAY
0363,Coming to America,1988,If you are a Murphy fan definitely see this one Eddie s character is substantially tamer than usual in this new comedy romance but it was still non stop humor and action The African Palace related scenes very much reminded me of a 1940s movie like the ones Alice Faye Betty Grable and all of that crew did Remember the ones where the props were obvious facades and the landscapes obvious paintings but you didn t care because the costumes and dances were so eye catching One comment about the movie The movie is incredibly Black Sure the movie is about an African prince but the theme 99 of the cast the jokes and nearly every quality about the film seems to have been pulled out of JET or EBONY magazines I can t say if this really hurts or helps the film In fact pay attention and you will even catch a glimpse of a Black version of a famous French painting somebody help me out here the one with the French girl staring forward dressed like a maid waitress Manet or Monet There is quite a bit of background humor to watch for in this one If someone could send me a note explaining the Mortimer s money joke I d be grateful went over my head and the entire theater was clapping and cheering wildly Moderator s note The two bums were the businessmen from Murphy s earlier film TRADING PLACES Murphy does an excellent job of retaining his Eddie Murphyesque within a persona that is not his signature street wise foul mouthed wise guy His character is markedly naive to the ways in the big city this time Often I saw his BHC smile on the screen and I had anticipations of his Axel Foley character jumping out at any minute The movie s Ebony Magazine setting pokes fun of countless Black stereotype countless There is a nice pseudo insult directed at Whitney A lot of nice slams directed in the direction of McDonald s restaurants If you like any Eddie Murphy flicks at all this is a must to see but keep in mind that although he does bend his character a little here and there he is an African prince in this one
0364,Fish Called Wanda A,1988,Director Charles Chrichton Screenplay by John Cleese Produced by Michael Shamberg Starring John Cleese Jamie Lee Curtis Kevin Kline Michael Palin and Wanda Seen at USC Norris Theater July 14th This is one of those rare films that s as structurally sound as it is hilariously funny The timing characters and the absurd situations are perfect and will be appreciated by even those who don t generally care for Monty Python humor of which John Cleese and Michael Palin are co founders By the way those who do will absolutely love this movie The basic premise of four double crossing criminals trying to outsmart each other in order to find their hidden loot is well constructed and just intricate enough to be interesting without becoming unmanageable Perhaps the best part of this film is the wild and outrageous characters that Cleese has come up with Curtis and Kline both normally dramatic actors pull off comic roles like old pros and easily fit in with mainstays Cleese and Palin A true test for a great comedy it is even funnier when you think back on it afterwards and get a bigger laugh A FISH CALLED WANDA definitely fits this bill as a brilliant comedy a must see A
0365,Dead Pool The,1988,also a couple of corrections additions to the SIFF reviews at the end Moderator Before seeing THE DEAD POOL yesterday I watched the original DIRTY HARRY on CBS last Friday I enjoy that film a good deal and also MAGNUM FORCE while it s not exactly an even handed crime drama it sets the standards for a character who s gone on for a hell of a long popular run In the early Dirty Harry films San Francisco was always portrayed as a place to stay the hell away from because of those long haired crazies some of whom were homicidal maniacs you can always tell these guys because a they giggle hysterically all the time and b Harry says something pithy before slamming a bullet into their forehead And Harry s always portrayed as one of the last few bastions between Decent Folk and The Crazies and it s a thankless job I believe that some of my older relatives in Iowa got their ideas of San Francisco and California in general from Clint Eastwood movies The last couple of Harry films however have spent a lot of time parodying that image apparently not well enough though since Eastwood got elected in the Carmel mayoral race watching John Vernon ask him for advice in DIRTY HARRY becomes all the more funny Having his dog get blown away in the last film was taking the dead partner bit about as far as it would stretch and you felt as if the formula had gotten so re used that they were playing part of it for laughs Funny but I missed some of the character and eccentricities that made Harry such an interesting cop in the first movie all I can remember about the film preceding THE DEAD POOL is that Harry s tag line is Make my day It s outlasted almost all remembrances of the film itself THE DEAD POOL starts out with several efforts to get out of the rut and most of them work pretty well Harry has just put a big time gangster in San Quentin and two things have come of it One are numerous attempts on Harry s life by the gangster s associates which of course he s used to What he s NOT used to is being in the good graces of the department and the public due to his work and he has something to say about attempts by the police PR man to make him a celebrity We also have a series of murders going on among San Francisco movie people which continues to twist in the film s general news and hype theme This is all done pretty well About halfway through the film though things begin to return to the self spoofing stage though THE DEAD POOL is more subtle about it than the previous Harry films Also the city is portrayed in a less gritty manner than in some of the early films Except for kids robbing Chinese restaurants it looks like a paradise to me The ending is straight formula Harry and for that it was enjoyable but I could have asked for watching the character go somewhere MISC There s a great spoof of San Francisco chase scenes towards the end Harry s methods are still not very legal though some of them are understandable strikes me that if a guy unloads a machine gun into your car with you in it you can t be faulted too much to shooting him in the back as he runs away The romantic interest in THE DEAD POOL looks like a more elegant version of Sondra Locke I liked his new partner who can out one line Eastwood at times Basically worth 4 50 or 5 if you like Harry or limited crime dramas in general If you an informal Harry watcher wait for it to hit the discount houses Several people have pointed out two mistakes I made in the Seattle International Film Festivals I wrote First that was Kristy McNicol in TWO MOON JUNCTION not Jodie Foster Sorry it wasn t in the credits of the SIFF program and I got mixed up and put Foster s name down Lord knows why I would get the two mixed up Anyway it s a stupid movie you still don t want to see it Secondly in the Hollywood and the Code retrospective of BORN TO BE BAD I mistakenly put down Henry Travers as the obnoxious child actor who played Loretta Young s kid Several people pointed out that Travers was a older pleasant character actor who was a Hollywood staple these days he s best known as Clarence the Angel in IT S A WONDERFUL LIFE I got the name mixed up I forgot that in the thirties child actors got much lower billing than they do nowadays unless their name was Shirley Temple and since Travers was listed below Grant s name I expected that was the kid s name he s on screen a lot Travers plays a kindly old bookstore owner who is always trying to keep Loretta Young on the path of virtue Good luck One last addendum to the festival The Market Theater which closed down a few weeks ago has been picked up by the Cineplex Odeon chain of theaters and is currently showing DOMINICK AND EUGENE I can only hope that since DOMINICK AND EUGENE is the kind of film the Market always enjoyed showing that Ann Browder and company are still in charge and maybe just maybe they can wangle Cineplex Odeon into using the Market for next year s festival
0366,Die Hard,1988,Well looks like DIE HARD made it out before A FISH CALLED WANDA I have no doubt in my mind these will be two of the most remembered movies shown in national movie theatre chains this summer ROGER RABBIT being the third probably but who can tell Thumbs up from me and my friends although I must say it s probably going to be far more impressive if you see it in 70mm so you get the bigger than life feel and the big sound of course It was impressive Still this one should hold its own in normal movie theatres as well Bruce Willis The man is an enigma No He is a jerk Or used to be He started off really hot in MOONLIGHTING and kind of sputtered out We won t even mention debacles like THE RETURN OF BRUNO and so forth However in DIE HARD the director probably said Don t be doing Seagram s Wine Cooler acting in here or you re outta this flick Must ve been a convincing director In my mind and I ll bet the rest of you will feel the same as well Willis does a damned convincing job The character in which he is cast feels pain and goes through it for the people depending on him and coincidentally for the audience You can even feel for him In certain places the acting seems a bit contrived as in when he seems to be going crazy going what ll I do a bit pushed Other places few as they were were annoying with the wonderful one liner Yippee ki ay m therf cker However as a whole he does a damned convincing job in his role Which is this John McClain is a NYPD cop either accidentally invited to an office Xmas bash in LA or he has gone out there to visit his separated wife and kids or both I m still unclear on this it ll come to me As he enters the office tower where the party is going on cutting out the first 15 minute hullaballoo an ingenious subplot is unfolding a crafty incredibly knowledgeable team of experts want to get their hands on a lot of valuable goodies locked inside a very tricky safe inside this building I won t relay more detail because many of you probably have not seen this movie yet In short the team seals off the building from the inside effecting a hostage situation It s McLain s Willis job to get the people out in one piece among other things I ve said too much already go see it It s a another must this summer It seems to be a little too high on action seems to be something happening every minute after the first 20 which is probably why the few people who were somehow bored with this movie didn t leave I d guess 3 out of a theatre of 1 000 or so The slow motion cliffhanger sequence sky scraper hanger near the end was extremely well done in my opinion Shhh Ok ok The amount of enforcer help summoned near the end seems a bit ludicrous to me as do the FBI agents attitudes It has a fairly talented cast not too many faces I recognized but the main baddie has a face from somewhere I am sure and is very cold and very calculating a perfect villain especially considering what he was supposed to be portraying And one of his cronies is that guy with the wonderfully stormy good word face that was also the conductor in MONEY PIT an amusing but strange comedy to see at 4AM I forget his name I am almost 100 positive he is Germanic But he is wonderful The end bit was a little cough HA hard to believe but I remember now Alexander Godunov He also co starred in WITNESS tri starred 4 starred
0367,Midnight Run,1988,The other day I rented Brian DePalma s 1986 organized crime comedy WISE GUYS It was worse than this DePalma fan thought a DePalma film could be So it was with some trepidation that I went to see yet another Mafia style buddy film MIDNIGHT RUN Perhaps the contrast accounts for why I so thoroughly enjoyed the latter There is nothing particularly new about pitting two opposites against each other having a cross country chase or dodging the FBI and the mob MIDNIGHT RUN transcends the formula with a well crafted script and terrific acting on the parts of the lead characters I was never a big fan of Charles Grodin until I saw him hold his own with Robert DeNiro The chemistry between these two actors really works and they are so compelling that they practically carry the film Fortunately they are backed up by a fine supporting cast featuring some of the dumbest and meanest mobsters ever with Dennis Farina as the latter Yaphet Koto gets in some good licks as the harried FBI special agent Martin Brest also gets credit for his taught direction This film is a real balancing act between comedy drama and action picture Just when things might tip too far in one direction everything comes swinging back And as Steve Upstill pointed out at the theatre there are at least four times during the film where you ask yourself How on earth will they get out of this one As outlandish as the answer often is the film works well enough to let you willingly suspend disbelief MIDNIGHT RUN is certainly worth seeing and it s actually worth seeing on the big screen the better to appreciate Rob Hahn s fine camera operation
0368,Midnight Run,1988,High Concept Picture this The Odd Couple in a cops and robbers chase movie Well maybe not the original Odd Couple but you have the slob and the high strung neurotic The slob is a bounty hunter who smokes eats greasy food cusses that sort of thing He s got to bring the accountant of a Las Vegas gangster and heroin dealer from New York to Los Angeles Any of these odd couple movies work on the principle that if you get to know somebody even of a very different type whom you start out hating you of course get to like the other guy as you get to know him The odd couple plot has already been done at least once on the road with last year s PLANES TRAINS AND AUTOMOBILES MIDNIGHT RUN has its own odd couple as well as its own planes trains and automobiles Bounty hunter Jack Walsh played by Robert DeNiro having the time of his life has got to get Jonathan Mardukas played by Charles Grodin from New York to Los Angeles On the up side he will get 100 000 just for bringing one guy in On the down side 1 he cannot stand Mardukas 2 Mardukas is too neurotic to fly the distance so they have to go by ground transport 3 the FBI wants to stop them because they want to bring Mardukas in 4 another bounty hunter wants to stop them because he wants to bring Mardukas in and 5 the Mob would like to stop them not just because they do not want Mardukas to tell what he knows but also because he embezzled 15 000 000 from them All this is just a quaint way of saying that Walsh s chances of getting Mardukas to L A are less than ideal and that this particular trip is across country will not be uneventful The two leads of MIDNIGHT RUN are clever and funny men Charles Grodin has a reputation for being in real life one of the funniest and wittiest men in filmmaking but he just cannot project it from the wide screen Or perhaps he is just being himself on screen while other actors turn up the clowning switch to high while the cameras roll He comes off not so much funny as witty and likable in MIDNIGHT RUN DeNiro can be funny but somehow the chemistry between the two men never really works MIDNIGHT RUN is often funny has a lot of action and some semi obligatory car chases and is in general an okay piece of entertainment Rate it a 1 on the 4 to 4 scale
0369,Big Top Pee-wee,1988,SYNOPSIS WINGS OF DESIRE is a recent film in which an angel falls in love with a circus trapeze artist BIG TOP PEE WEE is a recent film in which Pee Wee Herman falls in love with a circus trapeze artist The two films have many other surprising similarities in common as this review makes clear Neither film in this reviewer s opinion lives up to its potential ASIDE The credits for BIG TOP PEE WEE listed a Key Gizmo Man Is this an established job on a film set What does he do REVIEW Cinema today has occasionally been compared to religion moving pictures are essentially icons or likenesses taken on faith requiring some suspension of belief in the nature of everyday reality and perhaps needing additional imagination on the part of observers to fill in the lacunae of the presented visions For this reason many film critics find particular interest in films which touch on spiritual matters One film which I saw recently seemed to center upon the rite of passage of a spiritual being and his earthy fascination with an aerial artiste a trapeze performer in a circus The opening moments of the film are moody and powerful as it becomes apparent that only small children can truly perceive the nature or even presence of the protagonist himself happiest when flying or leaving the constraints of this mortal coil to appear far overhead But will his infatuation with a circus showgirl prove to be a meretricious liason resolving her into his Nemesis Is a consideration of this eternal question perhaps the Angst which eats out the soul of which Fassbinder so fearfully cautioned us As enigmatic as Resnais s L ANNEE DERNIERE A MARIENBAD the French translation is tantalizingly imprecise as to whether derniere is last in the sense of final or rather previous this film can perhaps best be interpreted as an endorsement of Wittgenstein s fundamental philosophy later repudiated that the correspondence between elementary propositions and real facts Wittgenstein s Sachverhalt can only be inaccurately pictured in language but not stated for this would require an extra linguistic medium for expression Hence Wittgenstein erroneously reasoned all philosophy attempts to say the unsayable and true to the consequences of this belief he gave up his professorship and became a porter in an English hospital If only the film director had followed this example Others more charitable would suggest that a more accurate simile for this cinematic woman inspired evolution of the child visible free spirit would be Bogart s definitive transformation of Charlie Allnutt Bogart s only Oscar was awarded for this portrayal from intrepid but uncaring observer into involved hero of courage perseverance and devotion in THE AFRICAN QUEEN The brooding concentration as an idiosyncratic hero follows an elegiac path from a world beyond conventional experience into the physical confinements of the human condition works on a plethora of levels and effortlessly conveys a deep but ultimately unsatisfying sense of fantasy fulfilment which mars both of these films Echoing Brecht s famous theory of alienation the scene which worked best for me was the one in which the earthbound lover slowly twirled the vertical rope on which the aerial object of his affections was posing Bertolt Brecht strongly believed in avoiding the creation of illusion so that the audience was not emotionally manipulated but remained capable of intelligent appraisal Shunning past transparencies the hero of this film is now definitely earthbound while the heroine glides easily over his head in a clever but not wholly unanticipated inversion of their prior stations both have given up much but the union of both together achieves more Brecht s thesis on this occasion is vindicated ironically enough by the garish showmanship of a circus act Bazin founder of the seminal CAHIERS DU CINEMA held that a film maker should be considered in the light of thematic consistency and development throughout his work On these terms this film can only be regarded as a disappointing regression from previously promising though inconsistent earlier works I d like to end these pensees with a real kick ass power metaphor but it s Saturday night and my intellect is throbbing in a way that nothing short of a few swift bevies with the bitchin babes at the local brewhouse will allay Also it s my turn to argue whether Being and Nothingness is a correct translation of Sartre s Etre et le Neant so I gotta scoot Later dudes
0370,Big Top Pee-wee,1988,Pee Wee Herman had a farm E I E I O Pee Wee now lives on a farm and takes care of several animals including a talking pig named Vance He is engaged to the local school teacher a pretty virginal blonde who loves egg salad When the circus lands in Pee Wee s back yard he is quickly adopted by the circus people Pee Wee falls in love with the beautiful Trapeze Girl and has to decide between the school teacher and her Being a big Pee Wee fan I ve been anxiously waiting for the release of his new movie Unfortunately I was disappointed maybe I expected so much more The first 30 to 40 minutes of the film is by far the best these are scenes where Pee Wee deals his everyday life the farm the farm animals the townfolks his fiancee etc The scenes work because the focus is on Pee Wee it s when the film breaks away to the circus people and their problems that it loses interest Pee Wee s comedies always seems to work when he surrounds himself with characters sillier and more absurd than himself in doing this we the audience can relate to him and discover our own peculiarities In BIG TOP PEE WEE he breaks away from this formula too much and as a result the audience looses interest Kris Kristofferson sic plays his scenes so straight that Pee Wee has trouble playing off him it doesn t appear to be any chemistry between Pee Wee and the other characters In PEE WEE S BIG ADVENTURE every character was so absurd and exaggerated that Pee Wee seemed normal The ending of Big Top Pee Wee bothered me the most It appeared that the editor left out about 15 minutes of story The entire film builds up to the big night of the circus and nothing happens the film ends without a climax I would have loved to have seen Pee Wee caught up in several circus acts it would have been the opportunity for some great slapstick On a scale from 1 to 10 1 being a piece of shit and 10 being absolutely fantsatic I give it a 7 I must admit being a big fan of Pee Wee I m biased however I did expect the film to be as good or better than his first film PEE WEE S BIG ADVENTURE LEE
0371,Fish Called Wanda A,1988,A local theater previewed A FISH CALLED WANDA last weekend A FISH CALLED WANDA is an awkward title for a very funny film John Cleese who wrote and stars in but does not direct this film is back on form If you like zany comedies then you ll love this Some of Cleese s earlier solo films were patchy PRIVATES ON PARADE and some were downright boring CLOCKWISE but here we see sustained clever inventive comedy It simply gleams with wit The story line is straightforward based on a gang of double crossing jewel thieves after a successful raid The story is set in London and it s a pleasure to see the care taken with the location shooting apart from the final shot of the speeding car heading from the Old Bailey to Heathrow why are you going via Oxford John Some of the film editing is a bit clumsy too how does Michael Palin end up on the luggage conveyor at the airport Kevin Kline is superb as the ex CIA hitman sneering at the Brits The audience broke into spontaneous applause at the end of this film and you don t hear that very often these days A FISH CALLED WANDA is funny contains sharp characterizations and deserves to be an extraordinary success
0372,Midnight Run,1988,Friday mornings are tough enough to wake up to however I have a few habits which have made the process easier to bear in my twilight years I get up at 6 45 tune the radio to NPR and twist the volume up a couple of notches Then I tramp into the shower and wash in a slow motion manner while my stupor begins to melt About the time coherent thoughts are possible Tom Shale TV critic for the WASHINGTON POST is on doing one of his guerrilla film reviews and that brings me usually chuckling to consciousness While Shales and I don t always agree I like films that he hates he s so cutting and inventively nasty that he s fun to listen to opinion regardless So imagine my surprise upon hearing Shales voice boisterously praising a new film as my senses begin to function After checking that there wasn t any shampoo in my ears I struggled to hear the name of the film Shales actually liking a film all the way through What freak of nature had caused this hiccup in the law of averages Some new Dutch wunderkind with a film on lovers during the Falklands war Well no it s an action comedy picture By the guys who did BEVERLY HILLS COP no less MIDNIGHT RUN with De Niro and Grodin While struggling into my rather wrinkled chinos and rugby shirt I made a mental note to catch the film that weekend and see if Shales had his shit together He does There have been so many unsuccessful buddy buddy action films of late that it s easy to be cynical about the whole schtick These movies usually walk too far on one side or the other of the the action comedy partition too funny to be real or else the comedy is plastered on with a trowel hardly meshing to the plot at all MIDNIGHT RUN doesn t have that problem suspense is not a put on to the audience and the comedy is based almost entirely on the relations between a series of major and minor characters This film is like some molecular model everything that happens results from various supporting characters bouncing into the two main characters De Niro and Grodin who are themselves chained together often literally by their circumstances MIDNIGHT RUN walks the razor blade of a genre film and pulls it off completely due to the skill of the people involved Robert De Niro is an ex cop who works as a bounty hunter in L A He wants to make one final midnight run that ll pay big so he can buy a coffee shop He s got scruples and rules that few bounty hunters and as it turns out few cops have A sleazy local bail bondsman wants him to find and bring back to LA a mob accountant who skipped bail Charles Grodin he needs to be back in five days Unfortunately for De Niro a lot of other people want Grodin the mob because Grodin stole millions from them and gave it to charity the feds so that Grodin can testify headed by Yaphet Kotto in his best role in years and a bungling bounty hunter brought in when the bondsmen gets worried about De Niro s chances After finding Grodin in New York De Niro begins a cross country trek with his prisoner who both gnaws and ultimately grows on him And at every step of the trip they find themselves running into or from the supporting characters It almost becomes a ritual but it gets funnier each time it happens and it never slows down This film has all the bubble and bite and I m not handicapping it any of a Preston Sturges film at his best and I can t think of a much better compliment than that The story holds up perfectly everything happens for a good reason and hardly anything is telegraphed unless it s intentionally to divert the viewer in another direction The conclusion is especially good and I walked out vowing to see this again in a couple of weeks I m looking forward to it too De Niro plays his role with the hundreds of quirks he puts into any of his character physically and emotionally he can be a clown but he never mugs for the camera and his character is full blooded This isn t ONCE UPON A TIME IN AMERICA but he doesn t put anything less into it Charles Grodin is just as good but his watchword is control He could have played this like Tony Randall in a broadly neurotic TV style eccentric Here however he is restrained and gets his laughs from his low key snipes at just the right times and in the right tone of voice And he also ends up with a character who is as three dimensional as De Niro s it turns out that both their characters believe in certain rules and sticking to them and both of them do and you end up admiring them for it The other actors are all all top notch As I said Kotto has a slow burn in this film that Edgar Kennedy could envy The two mob underlings after Grodin are hilarious their obvious affection for one another one is former pug and neither is too bright is another of those bright touches that litter this film Dennis Farina of the late unlamented Crime Story on TV plays a mob boss with the kind of vicious conviction that breaks through that kind of role And Melvin the bumbling class B bounty hunter who competes for Grodin with De Niro carries out a running gag there are lots of running gags in this film and all of them are good with the best of the slapstick fall guys These guys are all archetypes not stereotypes they start from the standard character type and go on from there fleshing themselves out with each movement and sentence The writer for MIDNIGHT RUN George Gallo had these people pinned down in his head and with director Martin Brest he brings each to the forefront Along with BIG one of the best comedies in the last two years Worth every penny of 5 and then some
